연도,분기,월,지하철역,호선명,00-06시,06-11시,11-14시,14-17시,17-21시,21-24시,위도,경도
2020,3,9,도곡,분당선,2167,91795,36262,45521,84018,19650,37.491073,127.055319
2020,3,9,선릉,분당선,2503,281300,73625,86562,194875,37404,37.504571,127.048505
2020,3,9,선정릉,분당선,1949,129510,34859,45412,111647,22496,37.510516,127.043838
2020,3,9,수서,분당선,6389,185008,75804,91668,180987,47109,37.487425,127.1016645
2020,3,9,압구정로데오,분당선,2658,231343,105359,126827,280310,57841,37.527381,127.040534
2020,3,9,한티,분당선,2703,179471,86845,97367,193831,52191,37.496237,127.052873
2020,4,10,강남,2호선,21293,1093819,541637,665622,1361562,509357,37.4974135,127.028008
2020,4,10,삼성(무역센터),2호선,13128,815635,274172,345531,796996,178805,37.508844,127.06316
2020,4,10,선릉,2호선,11095,770367,299013,379755,765701,193881,37.504571,127.048505
2020,4,10,역삼,2호선,10317,834928,249248,310032,729605,162154,37.500622,127.036456
2020,4,10,대청,3호선,4478,148302,59414,77989,131397,40778,37.493514,127.079532
2020,4,10,대치,3호선,3057,147761,77600,93220,158548,67353,37.494612,127.063642
2020,4,10,도곡,3호선,2697,87528,36000,42611,73818,19292,37.491073,127.055319
2020,4,10,매봉,3호선,2366,191595,64607,77039,178646,42431,37.486947,127.046769
2020,4,10,수서,3호선,7033,263148,124723,145009,251531,71852,37.487425,127.1016645
2020,4,10,신사,3호선,4853,394734,207221,267011,528068,162971,37.516334,127.020114
2020,4,10,압구정,3호선,6361,467340,230513,273377,510677,123422,37.527072,127.028461
2020,4,10,일원,3호선,3324,157873,75324,85067,108637,29490,37.483681,127.08439
2020,4,10,학여울,3호선,670,32534,16422,20408,29139,7349,37.496663,127.070594
2020,4,10,강남구청,7호선,3583,282688,91515,107669,244422,71179,37.517324,127.041203
2020,4,10,논현,7호선,4721,340514,106969,134027,325681,103856,37.511093,127.021415
2020,4,10,청담,7호선,7944,379109,101803,128176,293695,70509,37.519365,127.05335
2020,4,10,학동,7호선,4594,436865,105070,134299,363365,77518,37.514229,127.031656
2020,4,10,신논현,9호선,6966,397397,203733,248022,523516,182270,37.504598,127.02506
2020,4,10,봉은사,9호선2~3단계,2465,235873,96400,114220,241873,56290,37.514219,127.060245
2020,4,10,삼성중앙,9호선2~3단계,1053,108056,33836,41224,105449,23044,37.513011,127.053282
2020,4,10,선정릉,9호선2~3단계,1835,156159,53191,62281,146671,38824,37.510516,127.043838
2020,4,10,언주,9호선2~3단계,2271,149863,55674,66716,145021,33514,37.507287,127.033868
2020,4,10,강남구청,분당선,2373,149808,63478,73328,155371,35294,37.517324,127.041203
2020,4,10,개포동,분당선,1692,54153,24389,30956,51962,17793,37.489116,127.06614
2020,4,10,구룡,분당선,740,31415,12988,17331,22884,6003,37.486839,127.058856
