연도,분기,버스정류장ARS번호,00~06_승하차_승객수,06~11_승하차_승객수,11~14_승하차_승객수,14~17_승하차_승객수,17~21_승하차_승객수,21~24_승하차_승객수,X좌표,Y좌표,버스정류장_위경도_값
2020,4분기,23126,3831,20394,15015,19221,31927,17348,127.0380422,37.52267134,"37.52267134, 127.0380422"
2020,1분기,23127,3212,20855,15798,24404,80878,30099,127.0407232,37.518485,"37.518485, 127.0407232"
2020,2분기,23127,2793,19942,15626,24990,79347,28017,127.0407232,37.518485,"37.518485, 127.0407232"
2020,3분기,23127,2756,20256,16273,25808,82467,27595,127.0407232,37.518485,"37.518485, 127.0407232"
2020,4분기,23127,2188,19790,15525,25316,78912,25414,127.0407232,37.518485,"37.518485, 127.0407232"
2020,1분기,23128,1900,37211,11255,12212,16859,6455,127.040089,37.51689253,"37.51689253, 127.040089"
2020,2분기,23128,1798,32805,10544,11971,15280,6278,127.040089,37.51689253,"37.51689253, 127.040089"
2020,3분기,23128,1935,36644,10675,12307,15498,6311,127.040089,37.51689253,"37.51689253, 127.040089"
2020,4분기,23128,1854,32770,9326,10806,13450,5361,127.040089,37.51689253,"37.51689253, 127.040089"
2020,1분기,23129,696,20547,7451,8181,11844,3588,127.036104,37.51568226,"37.51568226, 127.036104"
2020,2분기,23129,618,18426,6894,8113,10428,3264,127.036104,37.51568226,"37.51568226, 127.036104"
2020,3분기,23129,635,19375,6736,8219,10794,3198,127.036104,37.51568226,"37.51568226, 127.036104"
2020,4분기,23129,617,17913,5993,7260,8967,2696,127.036104,37.51568226,"37.51568226, 127.036104"
2020,1분기,23130,455,5101,3014,4334,7206,3085,127.035466,37.517034,"37.517034, 127.035466"
2020,2분기,23130,494,4811,2609,4006,6395,3083,127.035466,37.517034,"37.517034, 127.035466"
2020,3분기,23130,471,5090,2682,3910,6030,3068,127.035466,37.517034,"37.517034, 127.035466"
2020,4분기,23130,408,5044,2610,3727,5651,2744,127.035466,37.517034,"37.517034, 127.035466"
2020,1분기,23131,1995,10393,3974,4208,6495,1796,127.0352148,37.51732697,"37.51732697, 127.0352148"
2020,2분기,23131,1967,9644,3620,4332,6168,1894,127.0352148,37.51732697,"37.51732697, 127.0352148"
2020,3분기,23131,1972,10119,3831,4157,6758,1720,127.0352148,37.51732697,"37.51732697, 127.0352148"
2020,4분기,23131,1928,9756,3862,4505,6023,1551,127.0352148,37.51732697,"37.51732697, 127.0352148"
2020,1분기,23132,2078,114557,29652,33103,80683,23018,127.0302709,37.51512743,"37.51512743, 127.0302709"
2020,2분기,23132,1683,107614,27704,32366,76849,21349,127.0302709,37.51512743,"37.51512743, 127.0302709"
2020,3분기,23132,1873,112636,28157,32483,75835,21434,127.0302709,37.51512743,"37.51512743, 127.0302709"
2020,4분기,23132,1754,104281,26536,31970,72363,19436,127.0302709,37.51512743,"37.51512743, 127.0302709"
2020,1분기,23133,2011,57874,16261,17107,29686,8934,127.0286786,37.51853637,"37.51853637, 127.0286786"
2020,2분기,23133,2052,54105,14960,16535,27699,8684,127.0286786,37.51853637,"37.51853637, 127.0286786"
2020,3분기,23133,2082,56096,15459,16729,28645,9079,127.0286786,37.51853637,"37.51853637, 127.0286786"
2020,4분기,23133,1641,51715,14854,15749,26606,7977,127.0286786,37.51853637,"37.51853637, 127.0286786"
2020,1분기,23134,1011,19645,9252,12384,22956,6657,127.0364341,37.51565505,"37.51565505, 127.0364341"
2020,2분기,23134,1532,18133,8724,11579,20752,6261,127.0364341,37.51565505,"37.51565505, 127.0364341"
2020,3분기,23134,1257,18277,8685,11271,21921,6428,127.0364341,37.51565505,"37.51565505, 127.0364341"
2020,4분기,23134,1144,16398,7911,10893,18924,5441,127.0364341,37.51565505,"37.51565505, 127.0364341"
2020,1분기,23135,1067,10287,7412,10006,17967,6095,127.0401994,37.51678711,"37.51678711, 127.0401994"
2020,2분기,23135,1426,9457,7531,9671,17018,5676,127.0401994,37.51678711,"37.51678711, 127.0401994"
2020,3분기,23135,1230,9849,7203,9819,18410,6057,127.0401994,37.51678711,"37.51678711, 127.0401994"
2020,4분기,23135,945,8589,6698,8742,16383,5147,127.0401994,37.51678711,"37.51678711, 127.0401994"
2020,1분기,23136,1403,15861,7683,9283,15353,6560,127.0427985,37.51303053,"37.51303053, 127.0427985"
2020,2분기,23136,1273,14570,7283,10074,14621,6498,127.0427985,37.51303053,"37.51303053, 127.0427985"
2020,3분기,23136,1223,15182,7969,10471,14796,6768,127.0427985,37.51303053,"37.51303053, 127.0427985"
2020,4분기,23136,1111,14019,7385,9903,13442,6080,127.0427985,37.51303053,"37.51303053, 127.0427985"
2020,1분기,23137,576,16307,4668,4882,7986,3356,127.0427538,37.5100127,"37.5100127, 127.0427538"
2020,2분기,23137,758,15433,4585,5108,7715,3456,127.0427538,37.5100127,"37.5100127, 127.0427538"
2020,3분기,23137,819,17574,4770,5327,8124,3650,127.0427538,37.5100127,"37.5100127, 127.0427538"
2020,4분기,23137,628,16346,4062,5047,7237,3199,127.0427538,37.5100127,"37.5100127, 127.0427538"
2020,1분기,23138,1057,9380,4169,4993,8766,3797,127.0403789,37.50930041,"37.50930041, 127.0403789"
2020,2분기,23138,1178,9456,4329,5243,8085,3829,127.0403789,37.50930041,"37.50930041, 127.0403789"
2020,3분기,23138,1177,10815,4312,5284,8730,3987,127.0403789,37.50930041,"37.50930041, 127.0403789"
2020,4분기,23138,979,9397,3993,4787,7858,3692,127.0403789,37.50930041,"37.50930041, 127.0403789"
2020,1분기,23139,943,17775,7479,9809,16773,6563,127.036207,37.51122361,"37.51122361, 127.036207"
2020,2분기,23139,845,18307,7194,9506,15699,6650,127.036207,37.51122361,"37.51122361, 127.036207"
2020,3분기,23139,1081,20455,7833,10300,17129,7500,127.036207,37.51122361,"37.51122361, 127.036207"
2020,4분기,23139,750,20132,7962,9825,15278,7045,127.036207,37.51122361,"37.51122361, 127.036207"
2020,1분기,23140,667,7607,3885,5296,14076,4120,127.0354299,37.51433648,"37.51433648, 127.0354299"
2020,2분기,23140,647,7167,3671,5002,12966,3773,127.0354299,37.51433648,"37.51433648, 127.0354299"
2020,3분기,23140,609,7735,3730,5006,13549,4346,127.0354299,37.51433648,"37.51433648, 127.0354299"
2020,4분기,23140,514,6808,3770,4932,12402,3946,127.0354299,37.51433648,"37.51433648, 127.0354299"
