STDR_YY_CD,STDR_QU_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,TOT_WRC_POPLTN_CO,ML_WRC_POPLTN_CO,FML_WRC_POPLTN_CO,AGRDE_10_WRC_POPLTN_CO,AGRDE_20_WRC_POPLTN_CO,AGRDE_30_WRC_POPLTN_CO,AGRDE_40_WRC_POPLTN_CO,AGRDE_50_WRC_POPLTN_CO,AGRDE_60_ABOVE_WRC_POPLTN_CO,MAG_10_WRC_POPLTN_CO,MAG_20_WRC_POPLTN_CO,MAG_30_WRC_POPLTN_CO,MAG_40_WRC_POPLTN_CO,MAG_50_WRC_POPLTN_CO,MAG_60_ABOVE_WRC_POPLTN_CO,FAG_10_WRC_POPLTN_CO,FAG_20_WRC_POPLTN_CO,FAG_30_WRC_POPLTN_CO,FAG_40_WRC_POPLTN_CO,FAG_50_WRC_POPLTN_CO,FAG_60_ABOVE_WRC_POPLTN_CO
2020,1,A,골목상권,2110053,청구역 1번,281.0,166.0,115.0,0.0,52.0,69.0,69.0,54.0,37.0,0.0,23.0,45.0,43.0,27.0,28.0,0.0,29.0,24.0,26.0,27.0,9.0
2020,1,A,골목상권,2110054,청구역 3번,1537.0,849.0,688.0,3.0,259.0,378.0,315.0,336.0,246.0,1.0,90.0,204.0,220.0,211.0,123.0,2.0,169.0,174.0,95.0,125.0,123.0
2020,1,A,골목상권,2110055,황학동벼룩시장,29.0,19.0,10.0,0.0,1.0,4.0,6.0,11.0,7.0,0.0,1.0,3.0,5.0,6.0,4.0,0.0,0.0,1.0,1.0,5.0,3.0
2020,1,A,골목상권,2110056,신당역 3번,506.0,288.0,218.0,0.0,60.0,129.0,115.0,112.0,90.0,0.0,29.0,63.0,68.0,70.0,58.0,0.0,31.0,66.0,47.0,42.0,32.0
2020,1,A,골목상권,2110057,황학코아루아파트,57.0,39.0,18.0,0.0,8.0,11.0,16.0,9.0,13.0,0.0,4.0,5.0,14.0,7.0,9.0,0.0,4.0,6.0,2.0,2.0,4.0
2020,1,A,골목상권,2110058,성심여자고등학교,947.0,659.0,288.0,10.0,141.0,228.0,254.0,194.0,120.0,3.0,71.0,162.0,181.0,141.0,101.0,7.0,70.0,66.0,73.0,53.0,19.0
2020,1,A,골목상권,2110059,새남터성지,385.0,307.0,78.0,0.0,38.0,71.0,113.0,138.0,25.0,0.0,21.0,48.0,99.0,124.0,15.0,0.0,17.0,23.0,14.0,14.0,10.0
2020,1,A,골목상권,2110060,효창공원앞역 6번,291.0,174.0,117.0,0.0,28.0,62.0,84.0,73.0,44.0,0.0,10.0,34.0,52.0,47.0,31.0,0.0,18.0,28.0,32.0,26.0,13.0
2020,1,A,골목상권,2110061,효창동주민센터,473.0,301.0,172.0,1.0,61.0,90.0,150.0,113.0,58.0,1.0,38.0,52.0,96.0,67.0,47.0,0.0,23.0,38.0,54.0,46.0,11.0
2020,1,A,골목상권,2110062,한강로동땡땡거리(은행나무길),5667.0,3458.0,2209.0,9.0,735.0,1660.0,1587.0,1162.0,514.0,6.0,299.0,844.0,1074.0,890.0,345.0,3.0,436.0,816.0,513.0,272.0,169.0
2020,1,A,골목상권,2110063,효창공원앞역 5번,530.0,347.0,183.0,8.0,47.0,104.0,139.0,132.0,100.0,6.0,25.0,71.0,93.0,87.0,65.0,2.0,22.0,33.0,46.0,45.0,35.0
2020,1,A,골목상권,2110064,효창공원앞역 2번,925.0,527.0,398.0,2.0,126.0,275.0,263.0,160.0,99.0,1.0,49.0,160.0,162.0,88.0,67.0,1.0,77.0,115.0,101.0,72.0,32.0
2020,1,A,골목상권,2110065,남정초등학교,137.0,92.0,45.0,0.0,17.0,45.0,48.0,17.0,10.0,0.0,9.0,37.0,31.0,10.0,5.0,0.0,8.0,8.0,17.0,7.0,5.0
2020,1,A,골목상권,2110066,서울역 15번,748.0,467.0,281.0,6.0,152.0,227.0,156.0,125.0,82.0,3.0,81.0,151.0,104.0,66.0,62.0,3.0,71.0,76.0,52.0,59.0,20.0
2020,1,A,골목상권,2110067,배문고등학교,1574.0,907.0,667.0,1.0,219.0,377.0,391.0,329.0,257.0,0.0,85.0,177.0,202.0,230.0,213.0,1.0,134.0,200.0,189.0,99.0,44.0
2020,1,A,골목상권,2110068,남영역 1번,1039.0,595.0,444.0,8.0,154.0,224.0,240.0,224.0,189.0,6.0,59.0,124.0,144.0,138.0,124.0,2.0,95.0,100.0,96.0,86.0,65.0
2020,1,A,골목상권,2110069,숙대입구,829.0,295.0,534.0,3.0,200.0,295.0,168.0,86.0,77.0,3.0,34.0,90.0,82.0,40.0,46.0,0.0,166.0,205.0,86.0,46.0,31.0
2020,1,A,골목상권,2110070,용산세무서,184.0,130.0,54.0,0.0,21.0,54.0,55.0,24.0,30.0,0.0,8.0,37.0,41.0,18.0,26.0,0.0,13.0,17.0,14.0,6.0,4.0
2020,1,A,골목상권,2110071,한강미주맨션아파트,281.0,182.0,99.0,0.0,36.0,68.0,68.0,55.0,54.0,0.0,20.0,44.0,40.0,41.0,37.0,0.0,16.0,24.0,28.0,14.0,17.0
2020,1,A,골목상권,2110072,열정도,374.0,244.0,130.0,6.0,108.0,96.0,78.0,51.0,35.0,0.0,51.0,71.0,62.0,37.0,23.0,6.0,57.0,25.0,16.0,14.0,12.0
2020,1,A,골목상권,2110073,삼각지역 3번,7916.0,2353.0,5563.0,56.0,2498.0,2872.0,1896.0,491.0,103.0,25.0,856.0,912.0,415.0,109.0,36.0,31.0,1642.0,1960.0,1481.0,382.0,67.0
2020,1,A,골목상권,2110074,서울역 12번,8149.0,1751.0,6398.0,152.0,5985.0,1340.0,330.0,181.0,161.0,9.0,598.0,652.0,233.0,134.0,125.0,143.0,5387.0,688.0,97.0,47.0,36.0
2020,1,A,골목상권,2110075,숙대입구역 1번,1630.0,736.0,894.0,9.0,270.0,506.0,417.0,289.0,139.0,5.0,69.0,188.0,182.0,181.0,111.0,4.0,201.0,318.0,235.0,108.0,28.0
2020,1,A,골목상권,2110076,삼각지역 14번,537.0,175.0,362.0,0.0,46.0,143.0,158.0,153.0,37.0,0.0,11.0,49.0,61.0,45.0,9.0,0.0,35.0,94.0,97.0,108.0,28.0
2020,1,A,골목상권,2110077,삼광초등학교,385.0,317.0,68.0,0.0,37.0,86.0,148.0,98.0,16.0,0.0,21.0,66.0,130.0,88.0,12.0,0.0,16.0,20.0,18.0,10.0,4.0
2020,1,A,골목상권,2110078,이촌동점보아파트,69.0,29.0,40.0,0.0,12.0,15.0,17.0,13.0,12.0,0.0,3.0,8.0,7.0,5.0,6.0,0.0,9.0,7.0,10.0,8.0,6.0
2020,1,A,골목상권,2110079,후암동주민센터,1084.0,584.0,500.0,4.0,223.0,262.0,267.0,196.0,132.0,3.0,73.0,156.0,156.0,105.0,91.0,1.0,150.0,106.0,111.0,91.0,41.0
