STDR_YY_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,APT_HSMP_CO,AE_66_SQMT_BELO_HSHLD_CO,AE_66_SQMT_HSHLD_CO,AE_99_SQMT_HSHLD_CO,AE_132_SQMT_HSHLD_CO,AE_165_SQMT_HSHLD_CO,PC_1_HDMIL_BELO_HSHLD_CO,PC_1_HDMIL_HSHLD_CO,PC_2_HDMIL_HSHLD_CO,PC_3_HDMIL_HSHLD_CO,PC_4_HDMIL_HSHLD_CO,PC_5_HDMIL_HSHLD_CO,PC_6_HDMIL_ABOVE_HSHLD_CO,AVRG_AE,AVRG_MKTC,STDR_QU_CD,TRDAR_CD,TRDAR_CD_NM
2020,A,골목상권,26.0,193.0,75.0,2.0,5.0,0.0,122.0,89.0,57.0,5.0,2.0,0.0,0.0,52.0,143999440.0,3,2110028,이화달팽이길
2020,A,골목상권,26.0,193.0,75.0,2.0,5.0,0.0,121.0,85.0,56.0,11.0,2.0,0.0,0.0,52.0,148850282.0,4,2110028,이화달팽이길
2020,A,골목상권,126.0,765.0,138.0,24.0,7.0,1.0,208.0,601.0,111.0,15.0,0.0,0.0,0.0,52.0,130274130.0,1,2110029,동대문역 1번
2020,A,골목상권,126.0,765.0,138.0,24.0,7.0,1.0,208.0,601.0,111.0,15.0,0.0,0.0,0.0,52.0,130274130.0,2,2110029,동대문역 1번
2020,A,골목상권,126.0,765.0,138.0,24.0,7.0,1.0,208.0,601.0,111.0,15.0,0.0,0.0,0.0,52.0,130274130.0,3,2110029,동대문역 1번
2020,A,골목상권,129.0,803.0,139.0,24.0,7.0,1.0,192.0,632.0,134.0,16.0,0.0,0.0,0.0,51.0,135923775.0,4,2110029,동대문역 1번
2020,A,골목상권,2.0,32.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,46.0,151687500.0,1,2110030,동대문역 3번
2020,A,골목상권,2.0,32.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,46.0,151687500.0,2,2110030,동대문역 3번
2020,A,골목상권,2.0,32.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,46.0,151687500.0,3,2110030,동대문역 3번
2020,A,골목상권,2.0,32.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,46.0,154625000.0,4,2110030,동대문역 3번
2020,A,골목상권,1.0,4.0,8.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,64.0,173916667.0,1,2110031,창신역 1번
2020,A,골목상권,1.0,4.0,8.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,64.0,173916667.0,2,2110031,창신역 1번
2020,A,골목상권,1.0,4.0,8.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,64.0,173916667.0,3,2110031,창신역 1번
2020,A,골목상권,2.0,12.0,8.0,0.0,0.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0,49.0,176020833.0,4,2110031,창신역 1번
2020,A,골목상권,16.0,107.0,11.0,0.0,0.0,0.0,4.0,87.0,27.0,0.0,0.0,0.0,0.0,48.0,171208929.0,1,2110033,창신역 4번
2020,A,골목상권,16.0,107.0,11.0,0.0,0.0,0.0,4.0,87.0,27.0,0.0,0.0,0.0,0.0,48.0,171208929.0,2,2110033,창신역 4번
2020,A,골목상권,16.0,107.0,11.0,0.0,0.0,0.0,4.0,87.0,27.0,0.0,0.0,0.0,0.0,48.0,171208929.0,3,2110033,창신역 4번
2020,A,골목상권,16.0,107.0,11.0,0.0,0.0,0.0,4.0,81.0,33.0,0.0,0.0,0.0,0.0,48.0,176111905.0,4,2110033,창신역 4번
2020,A,골목상권,90.0,609.0,117.0,1.0,0.0,0.0,239.0,412.0,75.0,1.0,0.0,0.0,0.0,50.0,124427751.0,1,2110035,동묘앞역 2번
2020,A,골목상권,90.0,609.0,117.0,1.0,0.0,0.0,239.0,412.0,75.0,1.0,0.0,0.0,0.0,50.0,124427751.0,2,2110035,동묘앞역 2번
2020,A,골목상권,90.0,609.0,117.0,1.0,0.0,0.0,239.0,412.0,75.0,1.0,0.0,0.0,0.0,50.0,124427751.0,3,2110035,동묘앞역 2번
2020,A,골목상권,90.0,618.0,101.0,1.0,0.0,0.0,231.0,396.0,91.0,2.0,0.0,0.0,0.0,49.0,127219377.0,4,2110035,동묘앞역 2번
2020,A,골목상권,40.0,264.0,68.0,0.0,0.0,0.0,80.0,204.0,48.0,0.0,0.0,0.0,0.0,53.0,141773919.0,1,2110037,신설동역 12번
2020,A,골목상권,40.0,264.0,68.0,0.0,0.0,0.0,80.0,204.0,48.0,0.0,0.0,0.0,0.0,53.0,141773919.0,2,2110037,신설동역 12번
2020,A,골목상권,40.0,264.0,68.0,0.0,0.0,0.0,80.0,204.0,48.0,0.0,0.0,0.0,0.0,53.0,141773919.0,3,2110037,신설동역 12번
2020,A,골목상권,40.0,264.0,68.0,0.0,0.0,0.0,71.0,206.0,55.0,0.0,0.0,0.0,0.0,53.0,146356160.0,4,2110037,신설동역 12번
2020,A,골목상권,1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,46.0,225833333.0,1,2110038,경향신문사
