매출,기준_년_코드,상권_구분_코드_명,상권_코드,상권_코드_명,시간대,분기,점포수,총 상주인구 수,총 가구 수,총_직장인구_수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,총_생활인구_수,시간대_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,집객시설_수,관공서_수,은행_수,백화점_수,숙박_시설_수,area,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,시간대_버스_승하차승객수,시간대_지하철_승하차승객수,버스정류장_수,지하철역_수
82848.81781,2020,발달상권,2120196,서울세관,1,2,19,1385,903,9687,26,0,23,28,11,29,6,32,781786,127177,122796,124640,125931,125574,123801,84705,74339,51,4,7,0,3,185479,59274,157055,212853,157419,87324,107859,9781,0,7,0
133894.5561,2020,발달상권,2120197,역삼역,1,2,146,5436,3697,58694,100,12,790,427,188,113,21,37,3522285,462567,588106,588542,590814,588836,567712,325655,272618,254,8,25,0,46,562806,142851,850013,1044156,683814,410677,390773,68617,33146,7,1
137095.497,2020,발달상권,2120198,구역삼세무서,1,2,40,7479,5101,11531,137,51,840,608,173,167,48,49,2181186,449825,339243,337045,338547,337337,327717,252001,249298,78,1,3,0,34,291469,150463,519282,599226,393331,237777,281108,8367,0,7,0
273641.257,2020,발달상권,2120199,경복아파트교차로,1,2,13,737,485,3830,17,4,139,35,8,1,2,46,537700,98168,81703,83201,82852,82786,81797,65175,60187,19,0,2,0,6,112742,36288,107306,153899,106020,61845,72342,6181,0,4,0
148673.7466,2020,발달상권,2120200,학동사거리,1,2,36,1013,568,9363,14,10,50,19,12,6,2,77,1348536,194106,187709,204215,206268,209065,211460,186431,143388,136,0,6,0,4,266597,92906,319556,375196,241599,147326,171954,24018,0,4,0
129710.296,2020,발달상권,2120201,도곡1동,1,2,15,1873,1076,11559,43,31,171,102,88,94,31,0,1020053,198582,154204,152827,153706,152488,149807,129764,127257,46,0,6,0,10,169293,156627,166802,203802,188752,132530,171542,12861,0,6,0
74286.07814,2020,발달상권,2120202,압구정로데오역(압구정로데오),1,2,36,1880,789,11735,13,0,2,16,0,48,33,457,2299696,290706,324444,345167,346779,351361,362726,321084,248135,146,1,5,2,5,265701,206667,543540,562026,405798,255872,325791,30739,9578,3,1
81641.12551,2020,발달상권,2120203,강남구청역,1,2,38,1552,906,7726,24,4,79,84,22,3,6,118,1926538,313991,295565,298744,300969,300188,298913,228215,203943,111,2,7,0,10,173251,210979,378356,470018,372563,220743,273878,12387,18523,6,1
90895.20559,2020,발달상권,2120204,르네상스호텔사거리,1,2,24,1580,1096,41471,21,2,242,359,135,129,38,290,1295458,180527,213002,211820,213441,212847,207099,129841,107407,47,7,8,0,3,160960,79103,251820,356161,266654,170753,170966,29812,0,3,0
57427.94551,2020,발달상권,2120205,매봉역,1,2,24,1102,573,13950,23,37,59,28,57,39,27,5,561602,89638,87073,86971,87425,87701,86434,65344,60653,33,0,1,0,6,122443,50879,94536,111945,105665,87440,111136,173,0,6,0
